Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Yes,7,Bank Transfer,Every 3 Months
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Yes,41,PayPal,Every 3 Months
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Yes,14,Credit Card,Weekly
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Yes,16,Credit Card,Monthly
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Yes,45,Venmo,Monthly
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Yes,37,Venmo,Annually
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Yes,45,Cash,Quarterly
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,Yes,38,PayPal,Quarterly
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,Yes,48,Credit Card,Bi-Weekly
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Yes,44,PayPal,Fortnightly
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Yes,10,PayPal,Weekly
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,Yes,44,Venmo,Every 3 Months
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Yes,18,Credit Card,Monthly
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Yes,31,Debit Card,Quarterly
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Yes,40,Venmo,Annually
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Yes,15,PayPal,Annually
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Yes,19,PayPal,Fortnightly
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Yes,45,PayPal,Weekly
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,Yes,25,PayPal,Annually
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Yes,45,Cash,Quarterly
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Yes,36,Cash,Weekly
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Yes,38,Cash,Monthly
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Yes,34,Debit Card,Bi-Weekly
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Yes,39,Debit Card,Bi-Weekly
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,Yes,7,Credit Card,Quarterly
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Yes,26,Credit Card,Weekly
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Yes,35,Credit Card,Weekly
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Yes,35,Debit Card,Bi-Weekly
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,Yes,49,Credit Card,Annually
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Yes,46,Credit Card,Weekly
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Yes,17,Debit Card,Fortnightly
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Yes,29,Venmo,Monthly
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Yes,4,Debit Card,Weekly
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Yes,17,Cash,Weekly
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Yes,21,Credit Card,Every 3 Months
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Yes,31,Credit Card,Fortnightly
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,Yes,43,Credit Card,Weekly
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Yes,18,Debit Card,Fortnightly
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,Yes,44,Venmo,Every 3 Months
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,Yes,3,Venmo,Every 3 Months
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Yes,49,Debit Card,Monthly
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Yes,21,Cash,Every 3 Months
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Yes,5,Cash,Weekly
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Yes,32,Debit Card,Every 3 Months
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Yes,34,Bank Transfer,Annually
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Yes,21,Bank Transfer,Every 3 Months
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Yes,43,Bank Transfer,Bi-Weekly
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Yes,3,Cash,Monthly
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Yes,21,Credit Card,Annually
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Yes,32,Venmo,Monthly
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Yes,36,Debit Card,Fortnightly
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Yes,50,Venmo,Fortnightly
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,Yes,43,Bank Transfer,Every 3 Months
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Yes,Yes,24,Credit Card,Every 3 Months
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Yes,36,Credit Card,Every 3 Months
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,Yes,21,Credit Card,Every 3 Months
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Yes,34,Bank Transfer,Weekly
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Yes,42,Bank Transfer,Every 3 Months
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Yes,2,Debit Card,Bi-Weekly
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,Yes,47,Cash,Bi-Weekly
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,Yes,44,Debit Card,Fortnightly
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Yes,35,Credit Card,Monthly
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Yes,15,Cash,Quarterly
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Yes,29,Credit Card,Monthly
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Yes,18,Credit Card,Every 3 Months
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,Yes,13,Venmo,Every 3 Months
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Yes,46,Credit Card,Weekly
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Yes,28,Credit Card,Weekly
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Yes,48,PayPal,Monthly
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Yes,43,Venmo,Every 3 Months
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Yes,37,Cash,Annually
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Yes,20,Bank Transfer,Annually
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Yes,33,Debit Card,Quarterly
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Yes,31,Cash,Fortnightly
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Yes,50,Credit Card,Bi-Weekly
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Yes,35,Credit Card,Quarterly
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Yes,22,Venmo,Bi-Weekly
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,Yes,1,PayPal,Monthly
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Yes,4,Bank Transfer,Annually
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Yes,31,Credit Card,Monthly
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Yes,46,PayPal,Fortnightly
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Yes,32,Bank Transfer,Bi-Weekly
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Yes,43,Bank Transfer,Fortnightly
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Yes,26,Venmo,Fortnightly
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Yes,9,Credit Card,Annually
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Yes,28,PayPal,Bi-Weekly
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Yes,20,PayPal,Quarterly
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Yes,9,Cash,Weekly
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Yes,48,Debit Card,Every 3 Months
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Yes,12,Venmo,Annually
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Yes,29,Cash,Fortnightly
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,Yes,27,Cash,Bi-Weekly
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Yes,44,Cash,Annually
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,Yes,32,Bank Transfer,Annually
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Yes,11,Cash,Fortnightly
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,Yes,44,Cash,Fortnightly
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Yes,46,Cash,Weekly
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Yes,50,PayPal,Annually
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Yes,45,Venmo,Every 3 Months
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Yes,48,Cash,Every 3 Months
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Yes,26,Credit Card,Weekly
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Yes,21,Credit Card,Fortnightly
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,Yes,49,PayPal,Bi-Weekly
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Yes,13,PayPal,Fortnightly
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Yes,46,Credit Card,Weekly
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,Yes,42,PayPal,Weekly
134,52,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Yes,25,Venmo,Annually
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,Yes,25,Cash,Monthly
136,43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,Yes,12,PayPal,Quarterly
137,39,Male,Blouse,Clothing,86,South Carolina,M,White,Winter,3.3,Yes,Yes,4,Debit Card,Quarterly
138,68,Male,Sneakers,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Yes,38,PayPal,Weekly
139,68,Male,Skirt,Clothing,29,Georgia,M,Maroon,Winter,4.4,Yes,Yes,42,Bank Transfer,Weekly
140,49,Male,Coat,Outerwear,95,Florida,M,White,Fall,3.8,Yes,Yes,30,Venmo,Annually
141,63,Male,Shirt,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Yes,Yes,50,Credit Card,Weekly
142,56,Male,Gloves,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Yes,Yes,45,PayPal,Weekly
143,37,Male,Jacket,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Yes,Yes,33,Credit Card,Fortnightly
144,30,Male,Coat,Outerwear,48,Missouri,M,Beige,Fall,2.7,Yes,Yes,25,PayPal,Quarterly
145,19,Male,Shoes,Footwear,43,New Jersey,M,Silver,Fall,3.2,Yes,Yes,25,Cash,Monthly
146,24,Male,Jewelry,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Yes,44,Debit Card,Quarterly
147,52,Male,Skirt,Clothing,30,Colorado,S,Black,Fall,4.0,Yes,Yes,21,Venmo,Fortnightly
148,63,Male,Shoes,Footwear,64,Idaho,M,Purple,Summer,3.5,Yes,Yes,31,Bank Transfer,Fortnightly
149,37,Male,Gloves,Accessories,90,Wyoming,M,Gray,Fall,2.6,Yes,Yes,47,Debit Card,Annually
150,38,Male,Pants,Clothing,76,Delaware,M,White,Summer,3.2,Yes,Yes,14,PayPal,Monthly
151,35,Male,Boots,Footwear,96,California,L,Cyan,Fall,4.9,Yes,Yes,17,Debit Card,Every 3 Months
152,28,Male,Sunglasses,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,Yes,Yes,3,Venmo,Annually
153,30,Male,Shirt,Clothing,85,South Carolina,S,Brown,Summer,4.3,Yes,Yes,42,Venmo,Annually
154,69,Male,Hoodie,Clothing,55,North Carolina,M,Maroon,Winter,3.2,Yes,Yes,22,Debit Card,Annually
155,41,Male,Dress,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,Yes,Yes,21,Venmo,Quarterly
156,63,Male,Socks,Clothing,77,Maine,S,Olive,Spring,4.3,Yes,Yes,21,Bank Transfer,Quarterly
157,35,Male,Shorts,Clothing,26,Missouri,M,Lavender,Fall,4.0,Yes,Yes,40,Debit Card,Annually
158,36,Male,Hat,Accessories,68,Vermont,S,Yellow,Fall,3.0,Yes,Yes,1,Bank Transfer,Fortnightly
159,25,Male,Shirt,Clothing,73,Connecticut,XL,Teal,Fall,4.1,Yes,Yes,50,Bank Transfer,Monthly
160,58,Male,Gloves,Accessories,27,New Hampshire,M,Charcoal,Fall,3.8,Yes,Yes,39,Bank Transfer,Every 3 Months
161,27,Male,Gloves,Accessories,23,Texas,M,Orange,Summer,4.6,Yes,Yes,34,Venmo,Monthly
162,65,Male,Backpack,Accessories,49,North Dakota,M,Olive,Fall,3.0,Yes,Yes,29,Venmo,Fortnightly
163,54,Male,Sunglasses,Accessories,74,California,M,Turquoise,Summer,3.0,Yes,Yes,31,PayPal,Bi-Weekly
164,54,Male,Skirt,Clothing,67,Virginia,M,Purple,Summer,3.4,Yes,Yes,8,Debit Card,Weekly
165,59,Male,Handbag,Accessories,65,Delaware,S,Purple,Spring,2.6,Yes,Yes,5,Credit Card,Fortnightly
166,42,Male,Handbag,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Yes,Yes,7,Cash,Monthly
167,46,Male,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,4.0,Yes,Yes,30,Cash,Monthly
168,33,Male,Gloves,Accessories,27,Arkansas,M,Green,Fall,4.0,Yes,Yes,14,Credit Card,Every 3 Months
169,34,Male,Shoes,Footwear,80,Louisiana,M,Magenta,Summer,3.0,Yes,Yes,5,Cash,Fortnightly
170,27,Male,Jacket,Outerwear,30,Nevada,S,Gold,Summer,3.3,Yes,Yes,3,PayPal,Every 3 Months
171,52,Male,Shirt,Clothing,25,Wyoming,M,Maroon,Fall,2.6,Yes,Yes,46,Venmo,Bi-Weekly
172,29,Male,Shorts,Clothing,35,Virginia,M,Blue,Summer,3.6,Yes,Yes,4,Credit Card,Weekly
173,54,Male,Jewelry,Accessories,67,Nebraska,M,Violet,Summer,3.9,Yes,Yes,42,Credit Card,Bi-Weekly
174,25,Male,Hat,Accessories,46,Hawaii,M,Turquoise,Fall,3.4,Yes,Yes,30,Cash,Annually
175,41,Male,Shoes,Footwear,35,Vermont,L,Brown,Winter,3.5,Yes,Yes,37,Venmo,Annually
176,53,Male,Coat,Outerwear,86,Oklahoma,L,Violet,Fall,2.8,Yes,Yes,2,Bank Transfer,Annually
177,53,Male,Backpack,Accessories,81,New Hampshire,L,Black,Spring,2.7,Yes,Yes,30,Credit Card,Quarterly
178,21,Male,Hoodie,Clothing,42,Kansas,L,Magenta,Fall,3.7,Yes,Yes,47,Bank Transfer,Monthly
179,61,Male,Skirt,Clothing,43,Idaho,L,Lavender,Fall,4.3,Yes,Yes,21,PayPal,Quarterly
180,64,Male,Boots,Footwear,31,Illinois,M,Violet,Fall,4.9,Yes,Yes,9,Bank Transfer,Fortnightly
181,51,Male,Sandals,Footwear,81,South Dakota,L,Green,Fall,3.3,Yes,Yes,12,Debit Card,Fortnightly
182,32,Male,Pants,Clothing,61,Massachusetts,M,Beige,Summer,4.7,Yes,Yes,4,Bank Transfer,Weekly
183,38,Male,Gloves,Accessories,96,Alabama,XL,Purple,Summer,2.8,Yes,Yes,10,Debit Card,Annually
184,58,Male,Skirt,Clothing,29,Ohio,XL,Beige,Spring,3.6,Yes,Yes,26,Credit Card,Weekly
185,32,Male,Sneakers,Footwear,33,Hawaii,L,Cyan,Spring,3.0,Yes,Yes,40,Cash,Fortnightly
186,46,Male,T-shirt,Clothing,32,Wisconsin,XL,Silver,Summer,4.5,Yes,Yes,34,Bank Transfer,Fortnightly
187,39,Male,Backpack,Accessories,56,Minnesota,S,Lavender,Summer,2.9,Yes,Yes,31,Debit Card,Annually
188,19,Male,Shoes,Footwear,94,Georgia,S,Purple,Spring,3.3,Yes,Yes,1,Bank Transfer,Bi-Weekly
189,50,Male,Hoodie,Clothing,53,Arkansas,M,Pink,Spring,3.1,Yes,Yes,5,Bank Transfer,Bi-Weekly
190,36,Male,Blouse,Clothing,82,West Virginia,M,Maroon,Fall,4.4,Yes,Yes,4,Credit Card,Weekly
191,65,Male,Coat,Outerwear,70,Indiana,XL,Beige,Fall,3.0,Yes,Yes,48,Venmo,Quarterly
192,64,Male,Hat,Accessories,76,Utah,M,Gray,Fall,3.9,Yes,Yes,29,Cash,Every 3 Months
193,46,Male,Shoes,Footwear,29,Nebraska,L,Turquoise,Summer,2.9,Yes,Yes,12,PayPal,Bi-Weekly
194,36,Male,Belt,Accessories,100,North Dakota,S,Silver,Fall,3.0,Yes,Yes,29,Venmo,Annually
195,51,Male,Backpack,Accessories,94,Missouri,M,Olive,Spring,3.1,Yes,Yes,15,Debit Card,Quarterly
196,51,Male,Jacket,Outerwear,25,New York,M,Magenta,Fall,4.3,Yes,Yes,34,Credit Card,Monthly
197,38,Male,Boots,Footwear,88,Washington,M,Lavender,Summer,3.9,Yes,Yes,41,Credit Card,Fortnightly
198,59,Male,Scarf,Accessories,78,South Carolina,M,Black,Fall,3.2,Yes,Yes,41,Credit Card,Monthly
199,57,Male,Jewelry,Accessories,45,Utah,M,Turquoise,Winter,4.8,Yes,Yes,39,Credit Card,Fortnightly
200,54,Male,Hat,Accessories,73,Idaho,XL,Green,Summer,3.8,Yes,Yes,32,Cash,Weekly
201,25,Male,Dress,Clothing,61,Pennsylvania,S,Teal,Summer,3.3,Yes,Yes,29,Venmo,Monthly
202,69,Male,Blouse,Clothing,22,Missouri,S,Beige,Fall,4.3,Yes,Yes,15,Bank Transfer,Annually
203,57,Male,Hat,Accessories,38,Nebraska,L,Magenta,Spring,2.7,Yes,Yes,33,Venmo,Annually
204,70,Male,Scarf,Accessories,38,Indiana,S,Yellow,Fall,3.2,Yes,Yes,18,Bank Transfer,Weekly
205,24,Male,Sneakers,Footwear,100,Arizona,M,Yellow,Fall,4.0,Yes,Yes,35,Cash,Bi-Weekly
206,67,Male,Shirt,Clothing,64,Hawaii,M,Silver,Winter,3.0,Yes,Yes,25,PayPal,Weekly
207,24,Male,T-shirt,Clothing,55,Wisconsin,L,Silver,Summer,4.2,Yes,Yes,6,Venmo,Fortnightly
208,62,Male,Gloves,Accessories,91,Rhode Island,M,Silver,Summer,2.9,Yes,Yes,17,Bank Transfer,Bi-Weekly
209,57,Male,Skirt,Clothing,38,Wisconsin,M,Gold,Spring,4.1,Yes,Yes,17,Credit Card,Monthly
210,55,Male,Sandals,Footwear,97,Minnesota,S,Olive,Winter,3.2,Yes,Yes,44,Cash,Every 3 Months
211,45,Male,Jacket,Outerwear,22,Vermont,L,Teal,Fall,3.0,Yes,Yes,6,PayPal,Fortnightly
212,69,Male,Skirt,Clothing,92,South Dakota,L,Maroon,Fall,4.2,Yes,Yes,45,Debit Card,Fortnightly
213,67,Male,Handbag,Accessories,84,Virginia,L,Blue,Fall,4.2,Yes,Yes,7,Debit Card,Annually
214,30,Male,Handbag,Accessories,93,Nevada,L,Peach,Fall,4.4,Yes,Yes,11,Debit Card,Every 3 Months
215,24,Male,Jacket,Outerwear,50,Hawaii,L,Blue,Summer,4.2,Yes,Yes,41,Cash,Every 3 Months
216,62,Male,Scarf,Accessories,64,New Jersey,S,Orange,Spring,2.8,Yes,Yes,24,PayPal,Bi-Weekly
217,43,Male,Shorts,Clothing,61,Massachusetts,L,Yellow,Spring,3.7,Yes,Yes,21,Venmo,Weekly
218,35,Male,Sunglasses,Accessories,48,Oklahoma,M,Purple,Winter,3.5,Yes,Yes,24,Bank Transfer,Annually
219,28,Male,T-shirt,Clothing,45,California,S,Magenta,Spring,2.9,Yes,Yes,8,Credit Card,Quarterly
220,32,Male,Belt,Accessories,88,Nevada,M,Cyan,Spring,3.0,Yes,Yes,12,Cash,Fortnightly
221,39,Male,Sneakers,Footwear,57,Arizona,S,Indigo,Spring,3.7,Yes,Yes,48,Debit Card,Fortnightly
222,28,Male,Hat,Accessories,68,North Carolina,XL,Magenta,Summer,4.4,Yes,Yes,6,Bank Transfer,Quarterly
223,47,Male,Gloves,Accessories,94,New York,XL,Gray,Spring,4.5,Yes,Yes,14,PayPal,Fortnightly
224,20,Male,Pants,Clothing,41,Wyoming,M,Turquoise,Spring,4.8,Yes,Yes,34,PayPal,Annually
225,63,Male,Socks,Clothing,83,South Dakota,S,Beige,Summer,2.9,Yes,Yes,12,Cash,Every 3 Months
226,25,Male,Jacket,Outerwear,22,Arkansas,M,Olive,Spring,3.2,Yes,Yes,11,Bank Transfer,Annually
227,29,Male,Shoes,Footwear,74,Texas,L,Violet,Spring,3.3,Yes,Yes,5,PayPal,Monthly
228,50,Male,Jeans,Clothing,90,Rhode Island,M,Turquoise,Winter,4.2,Yes,Yes,25,Venmo,Fortnightly
